Packet number,Battery voltage (V),Thermometer (degrees C)
14,4.222168,30.82813
148,4.222168,30.82813
281,4.220459,30.82813
415,4.218994,30.88281
548,4.218994,30.88281
682,4.218994,30.82813
815,4.218994,30.94141
949,4.218994,30.82813
1082,4.218994,30.82813
1216,4.220459,30.82813
1349,4.220459,30.88281
1483,4.223633,30.82813
1616,4.217285,30.82813
1750,4.218994,30.82813
1883,4.218994,30.82813
2017,4.218994,30.82813
2150,4.222168,30.88281
2284,4.218994,30.88281
2417,4.220459,30.82813
2551,4.222168,30.82813
2684,4.220459,30.94141
2818,4.222168,30.88281
2951,4.220459,30.82813
3085,4.218994,30.82813
3218,4.218994,30.94141
3352,4.218994,30.82813
3485,4.218994,30.82813
3619,4.222168,30.82813
3752,4.220459,30.82813
3886,4.222168,30.88281
4019,4.218994,30.82813
4153,4.218994,30.94141
4286,4.220459,30.82813
4420,4.218994,30.88281
4553,4.218994,30.88281
4687,4.218994,30.94141
4820,4.220459,30.82813
4954,4.220459,30.94141
5087,4.220459,30.82813
5221,4.218994,30.88281
5354,4.218994,30.82813
5488,4.218994,30.94141
5621,4.220459,30.82813
5755,4.218994,30.82813
5888,4.218994,30.94141
6022,4.222168,30.82813
6155,4.220459,30.82813
6289,4.220459,30.82813
6422,4.218994,30.94141
6556,4.218994,30.82813
6689,4.218994,30.88281
6823,4.218994,30.94141
6956,4.220459,30.82813
7090,4.217285,30.82813
7223,4.220459,30.82813
7357,4.222168,30.82813
7490,4.220459,30.82813
7624,4.218994,30.82813
7757,4.218994,30.82813
7891,4.218994,30.88281
8024,4.218994,30.82813
8158,4.218994,30.82813
8291,4.222168,30.94141
8425,4.222168,31.22656
8558,4.220459,31.22656
8692,4.220459,30.88281
8825,4.222168,30.88281
8959,4.218994,30.88281
9092,4.218994,30.88281
9226,4.218994,30.82813
9359,4.218994,30.82813
9493,4.218994,30.82813
9626,4.218994,30.94141
9760,4.222168,30.94141
9893,4.220459,30.88281
10027,4.218994,30.94141
10160,4.218994,30.88281
10294,4.218994,30.94141
10427,4.218994,30.88281
10561,4.218994,30.94141
10694,4.218994,30.88281
10828,4.218994,30.88281
10961,4.220459,30.88281
11095,4.222168,31.16797
11228,4.222168,30.82813
11362,4.218994,30.82813
11495,4.218994,30.94141
11629,4.218994,30.94141
11762,4.218994,30.88281
11896,4.218994,30.94141
12029,4.218994,31.22656
12163,4.220459,30.94141
12296,4.222168,30.88281
12430,4.222168,30.94141
12563,4.217285,30.88281
12697,4.218994,30.94141
12830,4.218994,30.94141
12964,4.218994,30.94141
13097,4.218994,30.94141
13231,4.218994,30.82813
13364,4.220459,30.82813
13498,4.222168,30.88281
13631,4.220459,30.82813
13765,4.222168,30.88281
13898,4.222168,31.22656
14032,4.218994,30.88281
14165,4.218994,30.94141
14299,4.218994,31.22656
14432,4.218994,31.22656
14566,4.222168,30.94141
14699,4.222168,30.82813
14833,4.222168,30.88281
14966,4.218994,31.22656
15100,4.218994,31.22656
15233,4.220459,31.16797
15367,4.218994,31.16797
15500,4.218994,30.82813
15634,4.220459,30.88281
15767,4.222168,31.22656
15901,4.222168,30.94141
16034,4.222168,30.94141
16168,4.218994,30.94141
16301,4.218994,31.22656
16435,4.218994,30.82813
16568,4.222168,30.94141
16702,4.218994,31.22656
16835,4.218994,31.22656
16969,4.222168,30.94141
17102,4.222168,31.16797
17236,4.222168,31.22656
17369,4.218994,30.94141
17503,4.222168,31.22656
17636,4.218994,31.16797
17770,4.218994,31.16797
17903,4.222168,31.16797
18037,4.218994,31.39844
18170,4.222168,31.22656
18304,4.222168,31.16797
18437,4.222168,31.45703
18571,4.218994,31.39844
18704,4.218994,31.39844
18838,4.218994,31.39844
18971,4.222168,31.45703
19105,4.218994,31.22656
19238,4.222168,31.39844
19372,4.222168,31.45703
19505,4.222168,31.39844
19639,4.223633,31.11328
19772,4.220459,31.22656
19906,4.218994,31.16797
20039,4.220459,31.22656
20173,4.218994,31.16797
20306,4.218994,31.45703
20440,4.222168,31.39844
20573,4.220459,31.45703
20707,4.222168,31.22656
20840,4.222168,31.45703
20974,4.218994,31.625
21107,4.222168,31.22656
21241,4.220459,31.33984
21374,4.218994,31.16797
21508,4.218994,31.22656
21641,4.218994,31.16797
21775,4.218994,31.45703
21908,4.223633,31.39844
22042,4.223633,31.22656
22175,4.222168,30.94141
22309,4.218994,31.45703
22442,4.218994,31.22656
22576,4.222168,31.45703
22709,4.218994,30.94141
22843,4.218994,31.39844
22976,4.218994,31.57031
23110,4.222168,31.22656
23243,4.222168,31.45703
23377,4.222168,31.45703
23510,4.218994,31.45703
23644,4.220459,31.39844
23777,4.218994,31.39844
23911,4.218994,31.45703
24044,4.222168,31.45703
24178,4.218994,31.22656
