Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.125,-0.0625,0.125,-0.02880859,0.01660156,1.01709,15.99951,15.99951,15.11475
2,-0.125,-0.25,0,0.002441406,-0.002441406,0.9736328,15.99951,15.99951,15.09375
4,-0.0625,-0.1875,0,0.006347656,0.01660156,0.9892578,15.99951,15.99951,15.09375
6,0.125,0,0,-0.04052734,0.03222656,1.013184,15.99951,15.99951,15.09375
8,-0.125,-0.125,0,-0.01708984,-0.002441406,0.9970703,15.99951,15.99951,15.12012
10,0,-0.125,0,-0.03271484,0.02050781,0.9853516,15.99951,15.99951,15.12012
12,0,0.0625,0.0625,-0.0009765625,0.03613281,0.9853516,15.99951,15.99951,15.12012
15,0,0,-0.1875,0.02197266,0.008789063,0.9970703,15.99951,15.99951,15.12012
18,0,-0.125,0,-0.02880859,0.008789063,1.020996,15.99951,15.99951,15.1123
20,0,-0.125,0.125,-0.04833984,0.01660156,1.013184,15.99951,15.99951,15.1123
22,-0.25,0,0,-0.02490234,-0.01025391,0.9853516,15.99951,15.99951,15.1123
24,0,0,0,0.006347656,-0.01416016,1.008789,15.99951,15.99951,15.1123
26,-0.1875,-0.1875,0,-0.01318359,0.01269531,0.9931641,15.99951,15.99951,15.1123
28,0,0,0.1875,-0.008789063,0.01269531,1.008789,15.99951,15.99951,15.1123
30,-0.0625,-0.25,0,-0.008789063,0.02050781,1.000977,15.99951,15.99951,15.12012
32,0,-0.125,0.0625,-0.02880859,0.01660156,0.9931641,15.99951,15.99951,15.12012
34,0,0,0,0.006347656,0.0009765625,1.004883,15.99951,15.99951,15.12012
36,0,0,0.125,-0.008789063,0.02441406,1.004883,15.99951,15.99951,15.12012
38,0,-0.25,0.3125,0.002441406,0.004882813,1.004883,15.99951,15.99951,15.12012
40,0,0.25,0.0625,-0.0009765625,0.03222656,1.000977,15.99951,15.99951,15.12012
42,0,-0.25,-0.125,-0.008789063,0.05224609,1.020996,15.99951,15.99951,15.12012
44,0,0,-0.0625,-0.04833984,0.02832031,1.000977,15.99951,15.99951,15.10156
46,0,-0.0625,0,-0.02880859,0.02832031,0.9970703,15.99951,15.99951,15.10156
48,0,0,0,-0.004882813,0.004882813,0.9853516,15.99951,15.99951,15.10156
