Packet number,Year,Month,Day,Hours,Minutes,Seconds
147,2000,1,5,0,1,11
414,2000,1,5,0,1,11
681,2000,1,5,0,1,12
948,2000,1,5,0,1,12
1215,2000,1,5,0,1,13
1482,2000,1,5,0,1,13
1749,2000,1,5,0,1,14
2016,2000,1,5,0,1,14
2283,2000,1,5,0,1,15
2550,2000,1,5,0,1,15
2817,2000,1,5,0,1,16
3084,2000,1,5,0,1,16
3351,2000,1,5,0,1,17
3618,2000,1,5,0,1,17
3885,2000,1,5,0,1,18
4152,2000,1,5,0,1,18
4419,2000,1,5,0,1,19
4686,2000,1,5,0,1,19
4953,2000,1,5,0,1,20
5220,2000,1,5,0,1,20
5487,2000,1,5,0,1,21
5754,2000,1,5,0,1,21
6021,2000,1,5,0,1,22
6288,2000,1,5,0,1,22
6555,2000,1,5,0,1,23
6822,2000,1,5,0,1,23
7089,2000,1,5,0,1,24
7356,2000,1,5,0,1,24
7623,2000,1,5,0,1,25
7890,2000,1,5,0,1,25
8157,2000,1,5,0,1,26
8424,2000,1,5,0,1,26
8691,2000,1,5,0,1,27
8958,2000,1,5,0,1,27
9225,2000,1,5,0,1,28
9492,2000,1,5,0,1,28
9759,2000,1,5,0,1,29
10026,2000,1,5,0,1,29
10293,2000,1,5,0,1,30
10560,2000,1,5,0,1,30
10827,2000,1,5,0,1,31
11094,2000,1,5,0,1,31
11361,2000,1,5,0,1,32
11628,2000,1,5,0,1,32
11895,2000,1,5,0,1,33
12162,2000,1,5,0,1,33
12429,2000,1,5,0,1,34
12696,2000,1,5,0,1,34
12963,2000,1,5,0,1,35
13230,2000,1,5,0,1,35
13497,2000,1,5,0,1,36
13764,2000,1,5,0,1,36
14031,2000,1,5,0,1,37
14298,2000,1,5,0,1,37
14565,2000,1,5,0,1,38
14832,2000,1,5,0,1,38
15099,2000,1,5,0,1,39
15366,2000,1,5,0,1,39
15633,2000,1,5,0,1,40
15900,2000,1,5,0,1,40
16167,2000,1,5,0,1,41
16434,2000,1,5,0,1,41
16701,2000,1,5,0,1,42
16968,2000,1,5,0,1,42
17235,2000,1,5,0,1,43
17502,2000,1,5,0,1,43
17769,2000,1,5,0,1,44
18036,2000,1,5,0,1,44
18303,2000,1,5,0,1,45
18570,2000,1,5,0,1,45
18837,2000,1,5,0,1,46
19104,2000,1,5,0,1,46
19371,2000,1,5,0,1,47
19638,2000,1,5,0,1,47
19905,2000,1,5,0,1,48
20172,2000,1,5,0,1,48
20439,2000,1,5,0,1,49
20706,2000,1,5,0,1,49
20973,2000,1,5,0,1,50
21240,2000,1,5,0,1,50
21507,2000,1,5,0,1,51
21774,2000,1,5,0,1,51
22041,2000,1,5,0,1,52
22308,2000,1,5,0,1,52
22575,2000,1,5,0,1,53
22842,2000,1,5,0,1,53
23109,2000,1,5,0,1,54
23376,2000,1,5,0,1,54
23643,2000,1,5,0,1,55
23910,2000,1,5,0,1,55
24177,2000,1,5,0,1,56
