Packet number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
1,0.6381553,0.1729865,0.3898116
3,0.6381434,0.1694835,0.3897921
5,0.6381383,0.169503,0.3862891
7,0.6416584,0.1729746,0.3898168
9,0.6381553,0.1729865,0.3898116
11,0.6381673,0.1764895,0.3898312
13,0.6416584,0.1729746,0.3898168
16,0.6416413,0.1694912,0.3862942
19,0.6451561,0.1729824,0.386319
21,0.6451561,0.1729824,0.386319
23,0.6451679,0.1764854,0.3863388
25,0.641665,0.1764972,0.3863335
27,0.6416703,0.1764776,0.3898365
29,0.6416703,0.1764776,0.3898365
31,0.6416703,0.1764776,0.3898365
33,0.6416823,0.1799806,0.3898561
35,0.6416823,0.1799806,0.3898561
37,0.6416823,0.1799806,0.3898561
39,0.6416823,0.1799806,0.3898561
41,0.6451853,0.1799686,0.3898616
43,0.6451853,0.1799686,0.3898616
45,0.6452091,0.1869746,0.389901
47,0.6487122,0.1869626,0.3899067
49,0.6487122,0.1869626,0.3899067
52,0.6452091,0.1869746,0.389901
54,0.6417061,0.1869866,0.3898954
56,0.6417061,0.1869866,0.3898954
58,0.6417061,0.1869866,0.3898954
60,0.6417061,0.1869866,0.3898954
62,0.6417061,0.1869866,0.3898954
64,0.6417061,0.1869866,0.3898954
66,0.6417061,0.1869866,0.3898954
68,0.641718,0.1904895,0.389915
70,0.641718,0.1904895,0.389915
72,0.6382151,0.1905015,0.3899092
74,0.6382151,0.1905015,0.3899092
76,0.638227,0.1940045,0.3899288
78,0.6382151,0.1905015,0.3899092
80,0.6382151,0.1905015,0.3899092
82,0.6382151,0.1905015,0.3899092
85,0.6382151,0.1905015,0.3899092
87,0.6382151,0.1905015,0.3899092
89,0.6382151,0.1905015,0.3899092
91,0.641718,0.1904895,0.389915
93,0.641718,0.1904895,0.389915
95,0.641718,0.1904895,0.389915
97,0.641718,0.1904895,0.389915
99,0.6417061,0.1869866,0.3898954
101,0.6417061,0.1869866,0.3898954
103,0.6417061,0.1869866,0.3898954
105,0.6417061,0.1869866,0.3898954
107,0.6417061,0.1869866,0.3898954
109,0.6416941,0.1834836,0.3898757
111,0.6416941,0.1834836,0.3898757
113,0.6381967,0.183476,0.3933732
115,0.6416997,0.1834639,0.3933787
118,0.6416941,0.1834836,0.3898757
120,0.6416876,0.179961,0.3933591
122,0.6451786,0.1764459,0.3933448
124,0.6451786,0.1764459,0.3933448
126,0.6451786,0.1764459,0.3933448
128,0.6451786,0.1764459,0.3933448
130,0.6451786,0.1764459,0.3933448
132,0.6451786,0.1764459,0.3933448
134,0.6486697,0.1729308,0.3933303
136,0.6486816,0.1764338,0.3933501
138,0.6486816,0.1764338,0.3933501
140,0.6451786,0.1764459,0.3933448
142,0.6451786,0.1764459,0.3933448
144,0.6451786,0.1764459,0.3933448
146,0.6451786,0.1764459,0.3933448
150,0.6451786,0.1764459,0.3933448
153,0.6451786,0.1764459,0.3933448
155,0.6451786,0.1764459,0.3933448
157,0.6486816,0.1764338,0.3933501
159,0.6486816,0.1764338,0.3933501
161,0.6486816,0.1764338,0.3933501
163,0.6451666,0.1729429,0.3933251
165,0.6451786,0.1764459,0.3933448
167,0.6451666,0.1729429,0.3933251
169,0.6451545,0.1694399,0.3933053
171,0.6451545,0.1694399,0.3933053
173,0.6416395,0.165949,0.3932806
175,0.6416515,0.169452,0.3933002
177,0.6416515,0.169452,0.3933002
179,0.6416515,0.169452,0.3933002
181,0.6416515,0.169452,0.3933002
183,0.6416395,0.165949,0.3932806
186,0.6416395,0.165949,0.3932806
188,0.6416515,0.169452,0.3933002
190,0.6451425,0.1659369,0.3932856
