Packet number,Element 1, Element 2, Element 3, Element 4
1,0.9999776,-0.005563753,-0.001528504,-0.003393278
3,0.9999776,-0.005563753,-0.001497934,-0.003393278
5,0.9999777,-0.005563754,-0.001497934,-0.003362708
7,0.9999774,-0.005594322,-0.001528503,-0.003393277
9,0.9999776,-0.005563753,-0.001528504,-0.003393278
11,0.9999775,-0.005563753,-0.001559074,-0.003393278
13,0.9999774,-0.005594322,-0.001528503,-0.003393277
16,0.9999775,-0.005594323,-0.001497933,-0.003362708
19,0.9999774,-0.005624892,-0.001528503,-0.003362707
21,0.9999774,-0.005624892,-0.001528503,-0.003362707
23,0.9999773,-0.005624891,-0.001559073,-0.003362707
25,0.9999775,-0.005594322,-0.001559073,-0.003362708
27,0.9999774,-0.005594322,-0.001559073,-0.003393277
29,0.9999774,-0.005594322,-0.001559073,-0.003393277
31,0.9999774,-0.005594322,-0.001559073,-0.003393277
33,0.9999773,-0.005594322,-0.001589643,-0.003393277
35,0.9999773,-0.005594322,-0.001589643,-0.003393277
37,0.9999773,-0.005594322,-0.001589643,-0.003393277
39,0.9999773,-0.005594322,-0.001589643,-0.003393277
41,0.9999771,-0.00562489,-0.001589643,-0.003393276
43,0.9999771,-0.00562489,-0.001589643,-0.003393276
45,0.9999771,-0.00562489,-0.001650783,-0.003393276
47,0.9999769,-0.005655459,-0.001650783,-0.003393275
49,0.9999769,-0.005655459,-0.001650783,-0.003393275
52,0.9999771,-0.00562489,-0.001650783,-0.003393276
54,0.9999772,-0.005594321,-0.001650783,-0.003393277
56,0.9999772,-0.005594321,-0.001650783,-0.003393277
58,0.9999772,-0.005594321,-0.001650783,-0.003393277
60,0.9999772,-0.005594321,-0.001650783,-0.003393277
62,0.9999772,-0.005594321,-0.001650783,-0.003393277
64,0.9999772,-0.005594321,-0.001650783,-0.003393277
66,0.9999772,-0.005594321,-0.001650783,-0.003393277
68,0.9999772,-0.005594321,-0.001681353,-0.003393277
70,0.9999772,-0.005594321,-0.001681353,-0.003393277
72,0.9999774,-0.005563752,-0.001681354,-0.003393277
74,0.9999774,-0.005563752,-0.001681354,-0.003393277
76,0.9999773,-0.005563751,-0.001711924,-0.003393277
78,0.9999774,-0.005563752,-0.001681354,-0.003393277
80,0.9999774,-0.005563752,-0.001681354,-0.003393277
82,0.9999774,-0.005563752,-0.001681354,-0.003393277
85,0.9999774,-0.005563752,-0.001681354,-0.003393277
87,0.9999774,-0.005563752,-0.001681354,-0.003393277
