Packet number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
1,0.9999723,-0.006769395,0.003094697,0.006803412,0.999915,-0.01111688,-0.00301918,0.01113763,0.9999334
3,0.9999725,-0.006769736,0.003033559,0.006803073,0.9999151,-0.01111709,-0.002958042,0.01113742,0.9999336
5,0.9999728,-0.006708598,0.003033219,0.006741935,0.9999153,-0.01111719,-0.002958382,0.01113733,0.9999334
7,0.9999722,-0.0067693,0.003094904,0.006803503,0.9999143,-0.01117802,-0.003018971,0.01119876,0.9999326
9,0.9999723,-0.006769395,0.003094697,0.006803412,0.999915,-0.01111688,-0.00301918,0.01113763,0.9999334
11,0.999972,-0.006769055,0.003155836,0.006803751,0.999915,-0.01111668,-0.003080318,0.01113784,0.9999331
13,0.9999722,-0.0067693,0.003094904,0.006803503,0.9999143,-0.01117802,-0.003018971,0.01119876,0.9999326
16,0.9999727,-0.006708504,0.003033424,0.006742024,0.9999146,-0.01117832,-0.002958175,0.01119847,0.9999327
19,0.9999727,-0.006708066,0.003094767,0.006742457,0.9999141,-0.01123925,-0.003019108,0.01125981,0.999932
21,0.9999727,-0.006708066,0.003094767,0.006742457,0.9999141,-0.01123925,-0.003019108,0.01125981,0.999932
23,0.9999725,-0.006707722,0.003155905,0.0067428,0.9999141,-0.01123904,-0.003080246,0.01126001,0.9999318
25,0.9999725,-0.00670782,0.003155701,0.006742707,0.9999148,-0.01117791,-0.003080453,0.01119888,0.9999325
27,0.999972,-0.006768956,0.003156042,0.006803844,0.9999143,-0.01117781,-0.00308011,0.01119897,0.9999324
29,0.999972,-0.006768956,0.003156042,0.006803844,0.9999143,-0.01117781,-0.00308011,0.01119897,0.9999324
31,0.999972,-0.006768956,0.003156042,0.006803844,0.9999143,-0.01117781,-0.00308011,0.01119897,0.9999324
33,0.9999717,-0.006768614,0.00321718,0.006804185,0.9999142,-0.0111776,-0.003141248,0.01119918,0.9999322
35,0.9999717,-0.006768614,0.00321718,0.006804185,0.9999142,-0.0111776,-0.003141248,0.01119918,0.9999322
37,0.9999717,-0.006768614,0.00321718,0.006804185,0.9999142,-0.0111776,-0.003141248,0.01119918,0.9999322
39,0.9999717,-0.006768614,0.00321718,0.006804185,0.9999142,-0.0111776,-0.003141248,0.01119918,0.9999322
41,0.9999717,-0.006768514,0.003217387,0.00680428,0.9999135,-0.01123874,-0.00314104,0.01126031,0.9999315
43,0.9999717,-0.006768514,0.003217387,0.00680428,0.9999135,-0.01123874,-0.00314104,0.01126031,0.9999315
45,0.9999715,-0.006767826,0.003339664,0.006804967,0.9999136,-0.01123832,-0.003263317,0.01126073,0.9999312
47,0.9999714,-0.006767722,0.00333987,0.006805066,0.9999129,-0.01129945,-0.003263108,0.01132186,0.9999305
49,0.9999714,-0.006767722,0.00333987,0.006805066,0.9999129,-0.01129945,-0.003263108,0.01132186,0.9999305
52,0.9999715,-0.006767826,0.003339664,0.006804967,0.9999136,-0.01123832,-0.003263317,0.01126073,0.9999312
54,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
56,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
58,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
60,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
62,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
64,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
66,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
68,0.9999713,-0.006767586,0.003400596,0.00680521,0.9999143,-0.01117698,-0.003324663,0.0111998,0.9999317
70,0.9999713,-0.006767586,0.003400596,0.00680521,0.9999143,-0.01117698,-0.003324663,0.0111998,0.9999317
72,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
74,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
76,0.9999711,-0.00676735,0.003461528,0.006805449,0.999915,-0.01111563,-0.003386011,0.01113887,0.9999322
78,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
80,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
82,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
85,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
87,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
89,0.9999713,-0.006767691,0.00340039,0.00680511,0.9999151,-0.01111584,-0.003324872,0.01113866,0.9999324
91,0.9999713,-0.006767586,0.003400596,0.00680521,0.9999143,-0.01117698,-0.003324663,0.0111998,0.9999317
93,0.9999713,-0.006767586,0.003400596,0.00680521,0.9999143,-0.01117698,-0.003324663,0.0111998,0.9999317
95,0.9999713,-0.006767586,0.003400596,0.00680521,0.9999143,-0.01117698,-0.003324663,0.0111998,0.9999317
97,0.9999713,-0.006767586,0.003400596,0.00680521,0.9999143,-0.01117698,-0.003324663,0.0111998,0.9999317
99,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
101,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
103,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
105,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
107,0.9999715,-0.006767929,0.003339458,0.006804869,0.9999143,-0.01117718,-0.003263525,0.01119959,0.9999319
109,0.9999717,-0.006768271,0.003278319,0.006804528,0.9999144,-0.01117739,-0.003202387,0.01119938,0.9999322
111,0.9999717,-0.006768271,0.003278319,0.006804528,0.9999144,-0.01117739,-0.003202387,0.01119938,0.9999322
113,0.9999713,-0.00682951,0.003278452,0.006865568,0.9999146,-0.01111616,-0.003202254,0.01113835,0.9999328
115,0.9999713,-0.006829409,0.003278661,0.006865665,0.9999139,-0.01117729,-0.003202044,0.01119948,0.9999321
118,0.9999717,-0.006768271,0.003278319,0.006804528,0.9999144,-0.01117739,-0.003202387,0.01119938,0.9999322
120,0.9999715,-0.006829752,0.003217522,0.006865324,0.999914,-0.0111775,-0.003140906,0.01119927,0.9999323
122,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
124,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
126,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
128,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
130,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
132,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
134,0.9999717,-0.006830245,0.003095662,0.006864822,0.9999124,-0.01130019,-0.003018208,0.01132112,0.9999312
136,0.9999717,-0.006829899,0.0031568,0.006865168,0.9999126,-0.01129998,-0.003079347,0.01132133,0.9999312
138,0.9999717,-0.006829899,0.0031568,0.006865168,0.9999126,-0.01129998,-0.003079347,0.01132133,0.9999312
140,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
142,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
144,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
146,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
150,0.9999717,-0.006829997,0.003156592,0.006865075,0.9999133,-0.01123885,-0.003079557,0.0112602,0.9999319
